SITE	Age (Ma)	Genus	d18O 5pt
607	0.3602	CIB	4.22
659	0.362	CIB	4.24
806	0.363	CIB	4.19
849	0.364	CIB	4.18
659	0.365	CIB	4.13
607	0.365	CIB	4.24
806	0.366	CIB	4.28
659	0.366	CIB	4.25
607	0.3668	CIB	4.19
659	0.368	CIB	4.23
849	0.368	CIB	4.21
607	0.3685	CIB	4.14
607	0.3716	CIB	4.17
806	0.372	CIB	4.19
849	0.372	CIB	4.16
607	0.3733	CIB	4.1
659	0.375	CIB	4.15
849	0.376	CIB	4.14
607	0.3771	CIB	4.13
806	0.378	CIB	4.11
607	0.3799	CIB	4.1
849	0.38	CIB	4.04
659	0.382	CIB	4.02
607	0.3832	CIB	3.98
806	0.384	CIB	3.95
849	0.384	CIB	3.95
607	0.3865	CIB	3.85
849	0.388	CIB	3.84
806	0.389	CIB	3.79
659	0.389	CIB	3.78
607	0.3898	CIB	3.74
849	0.392	CIB	3.75
607	0.3931	CIB	3.66
806	0.395	CIB	3.62
849	0.396	CIB	3.53
607	0.3964	CIB	3.52
607	0.3979	CIB	3.47
659	0.398	CIB	3.42
607	0.3987	CIB	3.32
849	0.4	CIB	3.28
607	0.4009	CIB	3.11
806	0.401	CIB	3.09
607	0.4017	CIB	3.08
607	0.4033	CIB	3.14
849	0.404	CIB	3.07
607	0.4046	CIB	3.14
659	0.405	CIB	3.24
806	0.406	CIB	3.33
607	0.406	CIB	3.32
607	0.4075	CIB	3.47
849	0.408	CIB	3.51
607	0.409	CIB	3.44
659	0.41	CIB	3.47
659	0.41	CIB	3.44
607	0.4106	CIB	3.39
806	0.412	CIB	3.67
849	0.412	CIB	3.65
607	0.4125	CIB	3.58
659	0.413	CIB	3.91
849	0.416	CIB	4.2
607	0.4162	CIB	3.86
607	0.4179	CIB	3.98
806	0.418	CIB	4.28
659	0.419	CIB	4.05
607	0.4198	CIB	3.97
849	0.42	CIB	4.06
806	0.42	CIB	4.01
659	0.423	CIB	3.85
806	0.423	CIB	3.88
849	0.424	CIB	3.97
806	0.425	CIB	4.21
659	0.426	CIB	4.42
607	0.4271	CIB	4.55
806	0.428	CIB	4.71
849	0.428	CIB	4.67
659	0.43	CIB	4.62
806	0.431	CIB	4.66
607	0.4312	CIB	4.74
849	0.432	CIB	4.78
